,Unnamed: 0,userId,gameId,rating,timestamp,status
33419,1379674,19985,9217,7.0,2005-04-01,
27628,1134665,16382,1032,5.5,2007-07-01,
77715,3119667,44107,911,8.0,2005-05-01,Prev. Owned
5309,222171,3277,9181,5.0,2008-09-01,
47571,1977541,28505,12942,6.0,2016-05-01,
113326,4431012,61858,5048,4.0,2014-07-01,
57704,2369403,33953,904,8.9,2005-12-01,
109453,4288916,59975,5,7.0,2012-03-01,
25818,1058347,15306,5,7.0,2010-06-01,Owned
110261,4320326,60370,2425,5.0,2016-10-01,Owned
104348,4097100,57388,12942,8.0,2021-10-01,Owned
81961,3274861,46191,2521,5.5,2003-07-01,Owned
98953,3904004,54865,1783,1.0,2006-01-01,
102991,4051919,56822,3095,5.0,2008-12-01,Prev. Owned
42067,1733606,24983,118,8.0,2019-11-01,Owned
55291,2281157,32731,16772,7.0,2013-10-01,Owned
119015,4646606,64774,118,8.0,2020-09-01,Owned
58731,2407172,34450,1032,7.0,2009-01-01,
100113,3951160,55486,12002,8.0,2011-11-01,Owned
66763,2712587,38699,11634,5.0,2011-04-01,Owned
1463,63702,937,4102,7.0,2005-05-01,
24720,1014718,14723,13551,6.0,2015-08-01,Owned
78440,3144932,44473,2846,6.0,2004-12-01,Owned
49250,2042241,29425,12942,6.75,2015-11-01,
74379,3004173,42652,13551,6.0,2008-10-01,
52613,2177109,31355,12942,5.0,2019-01-01,
71474,2903907,41277,12002,5.0,2013-07-01,Prev. Owned
58247,2388654,34214,2425,6.6,2018-01-01,
96523,3809448,53463,3793,4.0,2018-03-01,Owned
52550,2174014,31299,42,9.0,2016-08-01,Owned
16988,703561,10293,105,6.5,2019-07-01,
50223,2081673,29986,13308,6.5,2009-07-01,
113862,4452183,62141,943,5.0,2015-07-01,Owned
106216,4167347,58349,3608,6.0,2011-10-01,Owned
85556,3403866,47914,5,8.0,2007-11-01,Owned
115994,4540048,63337,1382,8.0,2008-04-01,Owned
38702,1596294,23083,12942,8.0,2005-12-01,Owned
84861,3378018,47537,5289,7.8,2007-01-01,
124500,4934938,62328,5808,2.0,2006-08-01,
29154,1201035,17314,5,8.0,2015-01-01,
5028,212067,3140,1234,4.5,2020-11-01,
53350,2204365,31693,5457,3.0,2009-07-01,
42205,1741723,25083,118,7.0,2016-04-01,
105281,4132069,57883,3139,8.0,2008-10-01,
56947,2342770,33579,3801,5.5,2005-05-01,
29291,1205905,17371,5,7.0,2005-10-01,
117709,4597225,64068,105,7.0,2018-12-01,
8843,363091,5372,592,7.0,2014-10-01,Owned
75060,3023542,42901,1942,8.0,2009-05-01,
62257,2531894,36141,9203,6.2,2008-01-01,
10815,449665,6573,16395,7.0,2006-12-01,Owned For Trade
86278,3429955,48297,42,7.0,2008-04-01,Owned
7150,295183,4353,11883,7.0,2011-04-01,Owned
42743,1766109,25419,13308,6.0,2008-12-01,
27556,1131167,16328,5258,7.0,2014-05-01,Owned
70915,2886030,41029,5,9.0,2004-09-01,Owned
69878,2844575,40524,491,8.0,2004-02-01,
43912,1819123,26161,371,7.0,2003-07-01,Owned
114408,4471794,62409,5,9.0,2016-09-01,
96465,3807440,53442,6353,6.0,2012-10-01,Prev. Owned
27678,1136226,16405,5048,4.0,2012-10-01,
40680,1675624,24166,105,7.0,2008-06-01,
44262,1831690,26328,27,7.0,2012-02-01,Owned
58380,2394314,34283,805,7.0,2002-09-01,
30777,1268261,18261,1115,6.0,2019-05-01,
116723,4563059,63642,42,4.0,2015-04-01,
24930,1023581,14842,11182,5.0,2021-09-01,Prev. Owned
38485,1588779,22981,2665,7.0,2009-03-01,
80901,3234951,45651,16395,5.0,2009-11-01,Owned
25213,1035625,15011,5048,3.0,2008-03-01,
2363,103346,1571,5997,6.0,2004-03-01,Prev. Owned
120397,4700691,65481,10623,9.0,2012-09-01,
79778,3191182,45050,3801,6.0,2017-12-01,Owned
72758,2949235,41914,12942,9.0,2010-02-01,
27540,1129550,16307,986,9.0,2006-01-01,
9419,387481,5726,5,9.0,2016-12-01,
32991,1360730,19704,2425,6.0,2008-01-01,
59859,2448648,35017,983,6.0,2009-02-01,
95421,3767526,52916,5457,8.0,2011-02-01,Owned
39540,1628110,23524,14808,7.5,2009-04-01,Owned
112699,4407447,61525,2425,5.0,2017-02-01,Owned Want To Play
50443,2089452,30098,2425,8.0,2011-11-01,Owned
84081,3351130,47202,16500,7.0,2009-12-01,Owned For Trade
35531,1465323,21186,3837,8.0,2018-12-01,Owned
104715,4112857,57592,3737,5.0,2013-09-01,
52476,2171005,31245,11634,7.4,2019-02-01,
63141,2566132,36561,12962,6.0,2007-02-01,Owned
71958,2921679,41525,252,8.0,2004-12-01,
88896,3528372,49682,12002,8.0,2010-11-01,Owned
68803,2800627,39962,14054,7.0,2009-11-01,
37342,1540177,22292,118,7.0,2006-01-01,
89395,3546889,49926,1597,7.0,2007-04-01,
48169,2001503,28885,2425,3.8,2015-06-01,
46968,1953126,28130,2818,5.0,2017-11-01,Owned
74550,3009163,42711,12942,7.0,2019-06-01,Owned
103327,4062206,56941,592,8.0,2007-05-01,
106596,4180947,58511,118,10.0,2012-02-01,
114256,4465679,62321,17405,7.0,2020-12-01,
1920,83151,1244,12942,7.0,2015-10-01,Owned
110347,4323670,60412,2818,4.5,2022-01-01,Owned
84935,3381089,47571,5048,3.0,2007-07-01,
58972,2415840,34588,3864,6.5,2007-06-01,Owned
73598,2976934,42264,118,7.0,2010-05-01,
81449,3254083,45916,1198,9.0,2007-01-01,Owned
4258,185586,2768,5,5.0,2010-10-01,
86743,3449373,48584,5,10.0,2004-06-01,
35958,1483191,21469,5716,8.0,2009-05-01,
2660,117335,1788,5,8.0,2008-07-01,Owned
55839,2303410,33051,5,8.0,2007-06-01,
66117,2688759,38340,256,5.0,2014-09-01,Owned
80137,3205227,45230,105,7.0,2005-02-01,Owned
68492,2789026,39801,3608,5.0,2004-05-01,
76599,3079215,43574,1782,4.0,2008-07-01,
40967,1686112,24298,1942,6.0,2014-12-01,
81863,3270929,46146,42,9.0,2008-12-01,
18019,743728,10879,11634,7.0,2004-06-01,
34763,1438134,20793,13308,6.0,2010-12-01,
120758,4717952,65729,5716,5.0,2011-08-01,
62607,2544261,36283,4102,3.0,2005-11-01,
53134,2196047,31586,1115,8.0,2017-12-01,Owned
117474,4589475,63977,5,6.0,2018-02-01,
57428,2359992,33824,42,9.0,2008-03-01,
64487,2616615,37266,42,8.0,2010-03-01,Owned
109892,4306758,60198,5699,5.5,2008-10-01,Owned
42665,1761826,25367,12942,9.0,2016-02-01,
12900,535546,7798,8069,6.5,2006-10-01,
110063,4313078,60277,3737,6.0,2021-01-01,Owned
86779,3450386,48602,42,8.0,2006-08-01,
81621,3261822,46023,5048,2.0,2021-12-01,Owned
105432,4137967,57956,2425,3.0,2015-10-01,
33490,1382203,20023,42,7.3,2015-12-01,Owned Want To Play
9897,410325,6032,182,6.0,2011-03-01,
59397,2431277,34781,1234,5.0,2009-06-01,
44954,1864757,26833,5,9.0,2019-11-01,Owned
5929,247296,3654,5716,8.0,2008-04-01,
100073,3950106,55472,12002,7.0,2008-03-01,Prev. Owned
33049,1362790,19731,9217,8.0,2013-11-01,Owned
104647,4110152,57557,11634,2.0,2017-05-01,
42195,1741575,25081,420,6.0,2004-01-01,
15960,669263,9807,814,6.0,2017-11-01,Owned
86863,3452749,48636,9217,8.0,2017-04-01,Owned
20623,847054,12304,105,9.0,2006-08-01,Owned
28810,1186610,17101,5,9.0,2007-04-01,
90261,3577480,50366,1942,8.0,2015-02-01,
46048,1912688,27520,42,8.8,2019-10-01,
70885,2884460,41004,2250,6.5,2008-01-01,
11035,458145,6696,1543,6.0,2009-12-01,
79796,3191591,45057,12902,7.0,2006-01-01,
23069,942988,13697,1032,6.0,2016-04-01,
29912,1235712,17829,1032,7.0,2021-02-01,Owned
72409,2937684,41741,42,8.0,2019-12-01,Owned
105719,4147660,58108,5,7.0,2016-05-01,
46510,1935915,27894,3837,6.15,2019-01-01,
4968,209462,3094,5,7.0,2006-11-01,
64844,2635238,37547,11634,6.0,2018-03-01,Owned
11476,477490,6979,42,8.0,2010-11-01,Owned
109103,4274449,59759,5716,7.0,2008-04-01,Owned
92988,3681892,51779,2425,8.0,2014-01-01,
28882,1189989,17152,1234,6.0,2018-01-01,
74270,3000857,42618,2250,8.0,2007-01-01,
72694,2947062,41882,1198,7.0,2011-11-01,Owned
77942,3125449,44186,5048,4.0,2014-11-01,Owned
3456,152888,2298,3139,5.0,2009-08-01,Prev. Owned
88371,3507418,49377,2633,6.0,2012-11-01,
100261,3956412,55548,13308,7.0,2014-04-01,
58058,2380681,34098,12002,6.0,2013-09-01,Owned
8178,337823,5007,5048,3.0,2009-01-01,
56532,2327732,33383,12942,8.0,2015-01-01,Owned
1521,67074,998,16395,6.0,2010-02-01,Owned
119225,4657001,64923,13308,7.0,2007-12-01,
49596,2056701,29631,2079,7.0,2004-08-01,
86451,3437275,48394,1198,6.0,2009-10-01,Owned
44378,1838174,26428,11634,7.0,2005-12-01,
83956,3345890,47115,1115,8.0,2005-12-01,
73877,2987648,42404,2425,3.0,2004-07-01,Prev. Owned
52535,2173335,31283,12942,8.0,2015-01-01,Owned
79610,3185868,44990,118,8.5,2005-11-01,
109490,4290226,59987,1653,6.0,2008-12-01,
44979,1865522,26839,13308,3.0,2007-12-01,
2992,133068,2013,5,9.0,2009-07-01,
49157,2038707,29362,793,4.0,2008-07-01,
95275,3761574,52843,42,8.0,2013-05-01,Prev. Owned
65214,2649212,37764,4192,7.0,2016-09-01,Owned
58522,2399247,34354,12002,7.5,2008-01-01,
51767,2142620,30821,592,7.0,2003-07-01,Owned
74425,3005444,42668,2425,4.0,2017-05-01,
86066,3421984,48175,42,9.0,2009-07-01,Owned
46477,1934608,27879,2425,5.0,2010-10-01,
70577,2874888,40894,1345,6.0,2011-12-01,
111431,4365608,60985,2393,7.0,2008-02-01,
31075,1279967,18449,12422,4.0,2019-08-01,Prev. Owned
43525,1800071,25880,2301,7.0,2008-04-01,Owned
84109,3352539,47217,1198,7.0,2019-02-01,Owned
103039,4053547,56840,639,8.0,2008-05-01,
69538,2832064,40378,5,8.0,2018-03-01,Owned
47566,1977294,28499,1115,9.0,2010-02-01,Owned
12673,527153,7678,753,5.0,2011-05-01,
67464,2744627,39190,1198,2.0,2015-05-01,
107285,4203191,58802,8170,8.0,2008-07-01,
20193,829201,12065,1345,6.5,2013-04-01,Wishlist(4)  (Thinking about it)
104795,4115465,57636,4192,8.0,2011-11-01,Owned
90972,3603583,50715,17405,7.0,2020-02-01,
55590,2293491,32901,8069,4.0,2016-12-01,Prev. Owned
4097,179368,2682,5048,3.0,2020-04-01,
100258,3955943,55543,5,7.0,2015-01-01,Owned
20998,862686,12532,2242,4.0,2020-02-01,
80575,3222139,45483,9203,7.0,2009-06-01,Prev. Owned
65358,2656091,37874,2818,5.0,2009-08-01,Owned
83576,3330060,46923,904,6.0,2007-01-01,
105291,4132381,57885,1403,6.5,2008-01-01,Owned
45073,1870088,26908,1353,9.5,2008-04-01,
40789,1679782,24214,10997,7.0,2008-07-01,
58051,2380289,34094,5048,5.0,2020-05-01,
9660,400035,5895,16366,6.0,2009-11-01,
84335,3359597,47311,1115,7.0,2017-01-01,Owned
25503,1045904,15137,42,8.0,2008-10-01,
39671,1633576,23588,12422,7.4,2015-02-01,
50580,2094588,30167,42,8.0,2007-11-01,Owned
48979,2032697,29282,8349,7.0,2004-08-01,
42806,1769569,25469,12002,8.0,2010-01-01,Owned
50411,2087939,30079,5,5.0,2020-12-01,
64909,2637632,37583,1382,7.0,2005-07-01,
94101,3720640,52305,1032,8.0,2008-05-01,
29632,1222706,17622,256,6.0,2016-08-01,
70963,2887406,41044,1751,7.0,2014-06-01,
111645,4373139,61105,9217,8.0,2006-08-01,Owned
106321,4171452,58390,371,7.0,2008-03-01,Owned
31041,1278188,18424,105,5.5,2008-12-01,
10725,446579,6540,9217,7.0,2010-08-01,Owned
76873,3091660,43743,5,7.0,2013-06-01,Owned
86871,3453341,48646,9217,8.2,2014-12-01,
107203,4200710,58759,11057,7.0,2008-03-01,
35579,1467488,21232,2425,4.0,2010-10-01,
123026,4807437,66951,49,8.0,2005-12-01,
113920,4454891,62179,13308,6.5,2007-01-01,Owned
67934,2766039,39488,118,7.0,2021-10-01,Owned
88045,3496517,49235,5716,7.0,2015-12-01,Owned
28656,1178956,17005,5,9.6,2009-11-01,
11348,471923,6911,1234,6.0,2015-10-01,
86000,3419941,48148,132,8.0,2003-07-01,Owned
45767,1900745,27346,986,5.0,2006-12-01,
1429,62112,908,5,8.0,2016-11-01,Want To Buy
40578,1670354,24087,1942,7.5,2018-11-01,Owned
64947,2638928,37603,568,6.5,2015-07-01,Owned
65459,2660096,37937,805,7.0,2019-07-01,Prev. Owned
37559,1550425,22469,2425,5.0,2006-03-01,
24532,1006825,14604,2425,5.0,2019-01-01,Owned
83427,3325074,46862,904,6.0,2020-10-01,Prev. Owned
55277,2280535,32721,9342,6.5,2007-09-01,
44575,1846666,26566,49,7.0,2008-03-01,Owned
47347,1969548,28386,105,6.0,2016-01-01,Owned
30360,1252746,18056,420,6.0,2018-02-01,Owned
7841,325693,4842,42,8.5,2021-02-01,
42181,1741435,25081,5,7.0,2003-08-01,Wishlist(4)  (Thinking about it)
82951,3307940,46636,13551,7.2,2009-09-01,
87077,3461467,48764,42,8.0,2009-10-01,
78623,3151121,44544,1410,3.0,2009-12-01,
116268,4548387,63442,5716,8.0,2008-01-01,Owned
53953,2229095,32039,42,8.0,2017-06-01,Owned
94144,3722223,52323,3608,5.0,2018-09-01,
37274,1536424,22234,13308,7.0,2009-01-01,
63546,2578707,36748,256,7.0,2018-12-01,Want In Trade Wishlist(4)  (Thinking about it)
122564,4787442,66685,132,7.0,2009-06-01,
85761,3412599,48044,1751,6.0,2021-02-01,
97998,3865837,54263,42,8.0,2018-11-01,Owned
84393,3362617,47359,11901,2.0,2004-06-01,
14145,590231,8602,943,4.0,2002-05-01,
109109,4274676,59765,5,8.0,2011-04-01,
45115,1872014,26941,146,7.0,2005-05-01,
63019,2560591,36486,9233,7.0,2020-06-01,Prev. Owned
14107,588508,8583,12942,6.5,2016-01-01,
31891,1312339,18983,127,8.0,2003-10-01,Owned
31130,1281555,18471,12942,8.0,2016-01-01,Owned
15341,641430,9386,5,8.0,2016-09-01,Owned
52013,2151714,30942,5048,1.0,2019-05-01,Prev. Owned
47868,1988052,28666,9217,9.0,2020-03-01,Owned
79944,3196879,45119,2633,6.0,2010-12-01,
33997,1404538,20356,9910,6.0,2009-06-01,Owned
90866,3600033,50674,17405,8.0,2020-01-01,
58161,2385347,34165,1783,7.0,2004-05-01,
32850,1353536,19593,10997,6.0,2005-07-01,Owned
94168,3722901,52329,9217,6.5,2018-07-01,Owned
47264,1965400,28324,814,6.0,2017-09-01,Owned
37348,1540291,22294,12942,6.0,2019-09-01,Owned
102345,4028653,56496,118,6.0,2009-03-01,Owned
4715,200843,2976,5,7.5,2016-04-01,
41369,1701687,24522,13551,7.0,2007-06-01,
108500,4252885,59488,12942,5.0,2015-01-01,
43528,1800193,25885,2425,7.0,2016-03-01,Owned
44938,1864107,26823,105,6.0,2002-03-01,Owned For Trade
46121,1916116,27577,1231,6.0,2003-07-01,Owned
41984,1729107,24908,2425,6.0,2017-01-01,Owned
41014,1687870,24321,904,9.0,2004-04-01,
57120,2349183,33674,118,7.0,2018-10-01,Owned
115125,4500858,62781,5,7.0,2010-08-01,Owned
46857,1948867,28073,5048,3.5,2016-01-01,Owned
68541,2791094,39837,805,5.0,2007-07-01,Owned
37061,1528441,22114,13308,6.0,2016-11-01,
37744,1558385,22580,2079,8.0,2012-01-01,
112329,4396581,61387,1234,7.0,2019-02-01,
68721,2797909,39928,118,7.5,2018-06-01,Owned
3262,144752,2187,1345,7.0,2009-03-01,
100999,3983131,55897,146,5.0,2008-07-01,
99087,3908905,54927,11634,6.0,2020-07-01,Owned
82779,3300651,46530,3864,5.2,2013-12-01,Owned
68831,2801530,39975,194,5.0,2018-11-01,
110691,4335836,60573,105,7.0,2009-02-01,Owned
64052,2596211,36972,4610,5.0,2021-06-01,Owned
15626,654179,9584,1234,1.0,2017-01-01,
111505,4368581,61029,12002,8.0,2006-03-01,
124666,4951895,17858,7529,6.0,2018-03-01,Owned
116003,4540635,63348,10997,6.0,2005-09-01,Owned
61000,2489813,35538,17405,9.0,2011-02-01,
105993,4160147,58263,256,6.0,2006-07-01,
93969,3717482,52262,42,6.0,2020-05-01,
50226,2081695,29986,420,2.5,2007-08-01,
73355,2969042,42152,2425,6.0,2018-11-01,
26869,1103136,15931,8043,6.0,2007-02-01,Owned
38654,1594806,23059,2904,7.5,2014-10-01,
9905,410482,6034,2425,2.0,2008-12-01,
110942,4345022,60707,5,7.0,2017-05-01,Owned
55611,2294620,32917,5716,7.0,2005-10-01,Owned
109476,4289773,59983,2425,2.0,2007-11-01,Owned
123289,4823074,67019,5048,1.5,2020-09-01,Prev. Owned
76464,3074509,43527,3737,6.0,2015-10-01,
85632,3406898,47975,3616,3.0,2004-02-01,
45472,1890094,27207,4610,5.0,2008-11-01,
59275,2427184,34735,1032,4.0,2010-01-01,
2598,114035,1736,118,7.0,2007-05-01,Owned
93053,3683874,51808,12942,7.0,2022-02-01,
103318,4062038,56939,12962,8.0,2006-03-01,
120624,4712370,65648,825,4.0,2003-02-01,
29301,1206079,17371,42,6.0,2009-04-01,
100532,3965936,55694,6932,6.0,2014-11-01,
23400,957089,13899,986,7.0,2004-01-01,
53327,2202224,31660,105,9.0,2013-08-01,Owned
68600,2793570,39881,420,7.0,2006-04-01,Owned
32600,1342549,19440,1198,7.5,2008-10-01,Owned
24541,1007336,14610,1234,6.5,2019-09-01,Owned
19007,780058,11384,3608,6.0,2009-02-01,Owned
120308,4697577,65439,42,6.5,2019-12-01,
7825,324907,4830,5,6.5,2011-09-01,
16278,680658,9962,5716,5.0,2018-01-01,
109965,4308672,60219,5716,6.702,2013-05-01,
107600,4216323,58967,10505,7.0,2013-09-01,Owned
74031,2992734,42478,12942,5.0,2011-01-01,
71532,2905989,41311,2425,5.0,2019-05-01,Owned
120357,4699191,65458,2307,6.0,2009-11-01,Owned
98874,3900542,54807,2425,2.5,2017-08-01,
107685,4220562,59038,592,8.0,2018-02-01,Owned
25057,1029252,14916,16395,7.9,2020-12-01,Owned
102224,4025459,56457,2879,5.0,2009-08-01,Prev. Owned
90892,3600543,50677,13308,7.0,2009-05-01,
120403,4700926,65483,118,7.8,2015-08-01,
89098,3536583,49789,5,7.0,2009-08-01,
28749,1184258,17071,1032,7.5,2006-04-01,
23597,960716,13942,8356,8.0,2019-08-01,Owned
34683,1434818,20746,943,5.0,2019-09-01,
118608,4632888,64567,14808,7.0,2009-10-01,Owned For Trade
19068,782927,11423,5716,8.0,2006-07-01,
9640,399118,5888,1115,5.0,2019-10-01,
71470,2903815,41276,3737,6.0,2006-09-01,
97868,3860844,54190,5571,6.0,2008-05-01,Owned
9625,397926,5877,943,8.0,2009-06-01,
67942,2766694,39496,1115,9.0,2018-11-01,Owned
85846,3415231,48077,105,6.5,2007-05-01,
73104,2960612,42043,639,7.0,2005-09-01,Owned
21461,882728,12846,12942,5.0,2021-11-01,Prev. Owned
11515,479426,7015,904,6.5,2012-12-01,
37687,1556208,22552,118,7.0,2012-03-01,
101171,3988195,55962,5048,4.0,2015-06-01,Owned
62554,2542999,36274,16395,7.0,2012-03-01,Owned
35384,1460536,21121,3864,6.0,2005-03-01,
76638,3080763,43600,5289,7.0,2014-11-01,Owned
34495,1427015,20639,1800,7.5,2020-07-01,Owned
6673,276403,4062,805,6.0,2016-05-01,Owned For Trade
10224,423940,6214,12902,7.0,2017-12-01,
104493,4104546,57484,13308,9.0,2008-01-01,Owned
75813,3052025,43251,12902,6.0,2006-07-01,Owned
56866,2339931,33543,12942,7.0,2016-09-01,Owned
34121,1410620,20442,42,6.0,2009-05-01,Wishlist(4)  (Thinking about it)
9614,396750,5857,12942,8.0,2020-09-01,Owned
62271,2532310,36146,904,6.0,2018-11-01,Owned
37931,1565432,22679,12002,6.0,2018-09-01,
36141,1491210,21593,1032,7.0,2008-09-01,Owned
14237,593060,8641,805,6.5,2009-10-01,Owned
108320,4245722,59407,12002,7.1,2009-07-01,Owned
72395,2937140,41733,118,8.0,2006-12-01,
40889,1683083,24256,10997,7.0,2016-12-01,
66437,2699532,38501,146,5.5,2008-08-01,Prev. Owned
54608,2252567,32351,12962,9.0,2011-07-01,Want In Trade Want To Play
54962,2267271,32526,182,7.5,2017-08-01,
56099,2312301,33164,13551,6.0,2009-08-01,
4854,205711,3052,16772,7.0,2020-03-01,
107300,4203795,58811,6932,2.2,2016-07-01,Prev. Owned
5774,240185,3537,2818,7.0,2019-10-01,Owned
127026,5175030,46616,5808,6.0,2005-10-01,
38300,1580171,22876,3510,3.0,2013-08-01,Owned For Trade
110654,4334378,60551,16444,6.0,2016-05-01,Owned
13805,575846,8403,1234,7.0,2020-11-01,
78039,3129959,44250,5,8.5,2004-11-01,Owned
72703,2947368,41889,2425,5.0,2010-01-01,Owned
13958,582094,8503,5,10.0,2007-03-01,
10225,424048,6214,49,5.0,2015-11-01,Owned
37117,1530981,22150,12743,7.0,2007-02-01,
30247,1248973,18000,118,9.0,2001-06-01,Owned
96699,3815518,53556,1751,2.0,2020-12-01,Owned
4149,181078,2700,9217,7.5,2021-08-01,
37650,1554542,22524,5,8.0,2016-02-01,Owned
11828,495128,7232,2308,3.0,2004-04-01,
101714,4007197,56218,1198,8.0,2019-01-01,Owned
83351,3322849,46837,2250,6.0,2007-07-01,
11061,459192,6713,118,7.5,2020-02-01,Prev. Owned
60417,2470609,35293,5,8.0,2003-08-01,Owned
51005,2112370,30381,12002,7.0,2009-06-01,Prev. Owned
123282,4822890,60755,13291,7.0,2013-03-01,Owned
56617,2330352,33428,11293,7.0,2009-09-01,
70239,2861089,40718,5716,8.0,2016-11-01,Prev. Owned
85117,3388021,47684,12962,8.0,2010-01-01,
77482,3113456,44022,256,8.0,2012-03-01,Owned
2559,112391,1706,2902,8.5,2008-03-01,
68088,2772248,39566,1032,10.0,2016-04-01,Owned
53856,2226144,31999,13308,8.0,2009-07-01,Prev. Owned
120562,4710609,65617,1353,9.0,2005-03-01,Owned
121845,4759938,66303,118,8.0,2009-05-01,
57150,2350073,33693,5,10.0,2012-03-01,Owned
127245,5200003,63,13291,6.0,2018-01-01,Prev. Owned
106276,4169951,58378,12942,4.0,2013-04-01,
95506,3771119,52956,12002,7.0,2012-08-01,
86289,3430190,48300,1234,6.0,2010-06-01,
107486,4211742,58915,1231,6.7,2010-04-01,
115378,4513911,62965,16395,7.5,2018-01-01,Owned
872,37665,545,42,9.0,2010-04-01,Owned
103841,4078045,57153,264,6.0,2015-01-01,Owned
124344,4921097,12940,13291,6.5,2011-05-01,Owned
2207,98047,1491,1115,5.0,2008-02-01,
48417,2010664,28999,1800,8.0,2003-03-01,
104746,4114322,57617,10816,5.0,2005-04-01,
50045,2074639,29888,3837,7.0,2019-04-01,
15913,666794,9770,3600,7.0,2017-03-01,Owned
103214,4058399,56896,9217,8.0,2020-11-01,Owned
38192,1576986,22840,5,6.0,2021-08-01,
36269,1496534,21657,12942,9.0,2017-04-01,
106519,4178392,58485,1353,7.0,2006-10-01,
